Lake,name_display,island_oikos,in_oikos_core_19,in_focus_23,match_status,group,period,Year,n_taxa_mean,n_taxa_max,n_seasons
Caldeirao,Caldeirão,Corvo,True,True,matched,phyto,historical,2011,15.0,20,4
Caldeirao,Caldeirão,Corvo,True,True,matched,phyto,historical,2012,19.0,25,4
Caldeirao,Caldeirão,Corvo,True,True,matched,zoo,2025,2025,0.0,0,1
Caldeirao,Caldeirão,Corvo,True,True,matched,zoo,historical,2011,15.0,15,1
Canario,Canário,Sao Miguel,True,True,matched,diatom,2015,2015,32.0,32,1
Canario,Canário,Sao Miguel,True,True,matched,diatom,2016,2016,29.25,34,3
Canario,Canário,Sao Miguel,True,True,matched,diatom,2017_2018,2017,24.0,24,1
Canario,Canário,Sao Miguel,True,True,matched,diatom,2017_2018,2018,23.67,30,3
Canario,Canário,Sao Miguel,True,True,matched,diatom,2024,2024,25.25,37,4
Canario,Canário,Sao Miguel,True,True,matched,diatom,2025,2025,34.5,43,4
Canario,Canário,Sao Miguel,True,True,matched,diatom,historical,2003,33.0,33,1
Canario,Canário,Sao Miguel,True,True,matched,diatom,historical,2004,27.33,29,3
Canario,Canário,Sao Miguel,True,True,matched,diatom,historical,2005,24.5,26,2
Canario,Canário,Sao Miguel,True,True,matched,diatom,historical,2006,25.67,28,3
Canario,Canário,Sao Miguel,True,True,matched,diatom,historical,2007,34.0,34,1
Canario,Canário,Sao Miguel,True,True,matched,diatom,historical,2008,25.5,26,2
Canario,Canário,Sao Miguel,True,True,matched,diatom,historical,2009,26.5,28,2
Canario,Canário,Sao Miguel,True,True,matched,diatom,historical,2010,31.5,35,4
Canario,Canário,Sao Miguel,True,True,matched,diatom,historical,2011,34.0,41,4
Canario,Canário,Sao Miguel,True,True,matched,diatom,historical,2012,30.5,40,4
Canario,Canário,Sao Miguel,True,True,matched,macro,2018,2018,7.0,7,1
Canario,Canário,Sao Miguel,True,True,matched,macro,2024,2024,4.0,7,4
Canario,Canário,Sao Miguel,True,True,matched,macro,2025,2025,4.75,5,4
Canario,Canário,Sao Miguel,True,True,matched,macro,historical,2003,4.0,4,1
Canario,Canário,Sao Miguel,True,True,matched,macro,historical,2004,2.67,4,3
Canario,Canário,Sao Miguel,True,True,matched,macro,historical,2005,7.0,8,3
Canario,Canário,Sao Miguel,True,True,matched,macro,historical,2006,5.67,7,3
Canario,Canário,Sao Miguel,True,True,matched,macro,historical,2008,6.33,9,3
